客服ID,玩家ID,玩家VIP等级,接收玩家消息时间,玩家消息内容,回复玩家消息时间,回复玩家内容,回复间隔
N2655,3080265,11,2016-05-24 14:50:02,还我血汗钱#132,2016-05-24 14:51:00,卖了什么神兵呀，卖了多少钱，可以和小静说下么，小静马上去申诉哦,0.9666666666666667
N2655,3080265,11,2016-05-24 14:50:11,扣我钱,2016-05-24 14:51:00,卖了什么神兵呀，卖了多少钱，可以和小静说下么，小静马上去申诉哦,0.8166666666666667
N2655,3080265,11,2016-05-24 14:50:21,我很烦#4,2016-05-24 14:51:00,卖了什么神兵呀，卖了多少钱，可以和小静说下么，小静马上去申诉哦,0.65
N2655,3080265,11,2016-05-24 14:52:03,2级神兵,2016-05-24 14:52:35,嗯嗯～是那个部位的神兵呀？,0.5333333333333333
N2655,3080265,11,2016-05-24 14:52:16,5000好像,2016-05-24 14:52:35,嗯嗯～是那个部位的神兵呀？,0.31666666666666665
N2655,3080265,11,2016-05-24 14:52:33,扣我3000#132,2016-05-24 14:52:35,嗯嗯～是那个部位的神兵呀？,0.03333333333333333
N2655,3080265,11,2016-05-24 14:52:51,帽子好像,2016-05-24 14:54:16,嗯嗯，先不着急哦，小静马上让同事去查哦#104,1.4166666666666667
N2655,3080265,11,2016-05-25 13:33:24,？,2016-05-25 13:36:40,已经反馈了，暂时还没有消息哦，有消息的话小静一定马上告诉你哦,3.2666666666666666
N2655,3080265,11,2016-05-25 13:33:47,查到了吗。也不说,2016-05-25 13:36:40,已经反馈了，暂时还没有消息哦，有消息的话小静一定马上告诉你哦,2.8833333333333333
N3621,4522059,11,2016-05-25 14:00:13,#17谢谢,2016-05-25 14:00:35,不客气呢～～,0.36666666666666664
N2631,229452,10,2016-05-24 11:03:20,在不在,2016-05-24 11:03:58,曼曼在呢， 回来啦,0.6333333333333333
N2631,229452,10,2016-05-24 11:03:48,客服在不在,2016-05-24 11:03:58,曼曼在呢， 回来啦,0.16666666666666666
N2631,229452,10,2016-05-24 11:04:06,[4o22],2016-05-24 11:04:21,现在你还可以发言吗？,0.25
N2631,229452,10,2016-05-24 11:04:29,我这宝宝为什么只卖3亿都说我违法,2016-05-24 11:24:58,这边是看不到图片的呢,20.483333333333334
N2631,229452,10,2016-05-24 11:05:01,可以了，昨晚半个服务器的人都抗议你们霸权主义,2016-05-24 11:24:58,这边是看不到图片的呢,19.95
N2631,229452,10,2016-05-24 11:06:39,粉红色的麒麟，女孩子的最爱，一个丹都1.5亿了，而且吃了还不一定变色，就算变了也不一定是粉红,2016-05-24 11:24:58,这边是看不到图片的呢,18.316666666666666
N2631,229452,10,2016-05-24 11:06:56,所以为啥说我非法交易？,2016-05-24 11:24:58,这边是看不到图片的呢,18.033333333333335
N2631,229452,10,2016-05-24 11:08:14,请给我个答复,2016-05-24 11:24:58,这边是看不到图片的呢,16.733333333333334
N2631,229452,10,2016-05-24 11:08:40,我投到这游戏的钱也数以万计了,2016-05-24 11:24:58,这边是看不到图片的呢,16.3
N2631,229452,10,2016-05-24 11:15:52,#132说话啊,2016-05-24 11:24:58,这边是看不到图片的呢,9.1
N2631,229452,10,2016-05-24 11:33:03,在不在？,2016-05-24 11:42:42,在恩～,9.65
N2631,229452,10,2016-05-24 11:46:34,那给个答复吖,2016-05-24 11:49:57,你卖了多少？被扣了多少呢？,3.3833333333333333
N2631,229452,10,2016-05-24 14:38:15,客服在不在,2016-05-24 14:42:22,在的,4.116666666666666
N2631,229452,10,2016-05-24 14:43:03,你怎么不给我处理问题？呢？,2016-05-24 14:43:23,刚刚曼曼给你发消息了啊，没收到？,0.3333333333333333
N2631,229452,10,2016-05-24 14:43:55,真心没收到，扣着3亿2500万,2016-05-24 14:45:43,现在这个交易是已经还原了呀，没有扣除喔,1.8
N2631,229452,10,2016-05-24 14:44:49,要不您给个能联系到你的电话，我打过去,2016-05-24 14:45:43,现在这个交易是已经还原了呀，没有扣除喔,0.9
N2631,229452,10,2016-05-24 14:46:26,是的，就是还原，但是扣着保证金,2016-05-24 14:47:10,这个时间一到是会还原的,0.7333333333333333
N2631,229452,10,2016-05-24 14:47:22,因为我朋友很想要粉色的麒麟，正好我缺钱，我也想卖,2016-05-24 14:47:30,你现在用的是哪个电话呢，曼曼给你致电过去,0.13333333333333333
N2631,229452,10,2016-05-24 14:47:45,是的13607888032,2016-05-24 14:52:37,好的,4.866666666666666
N2631,229452,10,2016-05-24 14:50:25,。。等你,2016-05-24 14:52:37,好的,2.2
N2631,229452,10,2016-05-24 14:50:35,#22,2016-05-24 14:52:37,好的,2.033333333333333
N2631,229452,10,2016-05-25 16:17:11,在了.市场价是多少?,2016-05-25 16:20:26,这个是时时波动的喔～所以也没有准确的数值...,3.25
N2631,229452,10,2016-05-25 16:42:08,"所以还不是那句话,值多少.还不是看你们心情!",2016-05-25 16:43:55,因为这个也是服务器的内部的价格，所以我也是不知道的,1.7833333333333334
N2631,229452,10,2016-05-25 16:43:10,"是没错,是有波动.1-2E.2-3E总有个数值,你们根本就不给出这个数值!.永远就是一句话,波动,波动.换了你,你怎么理解?",2016-05-25 16:43:55,因为这个也是服务器的内部的价格，所以我也是不知道的,0.75
N2631,229452,10,2016-05-25 16:43:50,"反正我也明白了.玩了这么多年网易的游戏,今天总算栽在手游上了!",2016-05-25 16:43:55,因为这个也是服务器的内部的价格，所以我也是不知道的,0.08333333333333333
N2631,229452,10,2016-05-25 16:44:30,"我知道,我没说你!只是网易内部太黑!至少对于手游来说黑的太过分!",2016-05-25 16:45:48,现在我们并没有扣除你的钱呀，等到了一个月就可以取回了，我知道你受了委屈，但是现在暂时没有更好的解决方法了,1.3
N2631,229452,10,2016-05-25 16:45:23,"交易系统不改,你们真的会失去很多老玩家",2016-05-25 16:45:48,现在我们并没有扣除你的钱呀，等到了一个月就可以取回了，我知道你受了委屈，但是现在暂时没有更好的解决方法了,0.4166666666666667
N2631,229452,10,2016-05-25 16:47:35,"我知道,受委屈无所谓!我的钱只是被扣着!还没被消除,我相信被消除的玩家有不少!",2016-05-25 16:55:06,我了解你的心情，玩游戏受限制了肯定不开心,7.516666666666667
N2631,229452,10,2016-05-25 16:49:36,"开发游戏是想赚钱,这个可以理解!我可以打个比喻,比如开发这个游戏赚100亿,网易占了9层,剩下的1层给玩家自由!但是手游网易却要占完10层,你问问策划,他们想这个游戏能走多久?",2016-05-25 16:55:06,我了解你的心情，玩游戏受限制了肯定不开心,5.5
N2631,229452,10,2016-05-25 16:50:40,"说句不好听的,微信都知道整个发红包给朋友,而你们?呵呵,过年了咱想发个红包给朋友,还得要上世界发去,还要让朋友去抢,而且他要抢得到才行!哈哈!",2016-05-25 16:55:06,我了解你的心情，玩游戏受限制了肯定不开心,4.433333333333334
N2631,229452,10,2016-05-25 16:52:51,"我玩网易的游戏从大话西游刚出来就玩了.梦幻西游更是玩得久.武神坛冠军也拿过,你不信现在百D搜:快感少爷..那就是我曾经的号",2016-05-25 16:55:06,我了解你的心情，玩游戏受限制了肯定不开心,2.25
N2631,229452,10,2016-05-25 16:54:29,"算了,你可以理解成我对你发牢骚,不过我只是谈谈一个忠实的网易老玩家,对现在网易手游策划的看法!!..总结:8个字,心灰意冷,不再投资!",2016-05-25 16:55:06,我了解你的心情，玩游戏受限制了肯定不开心,0.6166666666666667
N2631,229452,10,2016-05-25 16:57:23,"对事没错啊,你凭你良心说,这个交易系统,.霸道吗?别的公司出的游戏有这么霸道嘛?!你也玩了不少游戏了吧,你自己说说心里话!",2016-05-25 17:04:22,放在谁身上，肯定也会不开心,6.983333333333333
N2631,229452,10,2016-05-25 16:58:23,"还有,这个游戏的PK系统,就是野外吃香杀人系统,也存在一个很大的问题!",2016-05-25 17:04:22,放在谁身上，肯定也会不开心,5.983333333333333
N2631,229452,10,2016-05-25 17:08:33,"那你告诉我,什么叫正常的交易,什么又叫不正常的交易?!",2016-05-25 17:47:36,毕竟游戏的一个大环境还是得要维护,39.05
N2631,229452,10,2016-05-25 17:10:02,"国家法律规定,交易自由,你们给自由了吗?公平,公开,公正,你们做到了?!.",2016-05-25 17:47:36,毕竟游戏的一个大环境还是得要维护,37.56666666666667
N2631,229452,10,2016-05-25 17:10:37,"我知道你想说啥,你是不是想说,这是虚拟网络,不是现实.对,没错,这是虚拟世界!所以,你们赢了!",2016-05-25 17:47:36,毕竟游戏的一个大环境还是得要维护,36.983333333333334
N2631,229452,10,2016-05-25 19:00:53,你不是说不在这个区嚒,2016-05-25 19:09:43,也可以一起呀#132,8.833333333333334
N2631,229452,10,2016-05-25 19:10:33,切。,2016-05-25 19:29:33,偶尔用小号去看看你#162,19.0
N2631,229452,10,2016-05-25 19:30:54,来呗！哥唱歌给你听#1,2016-05-25 19:44:32,来～洗耳恭听～,13.633333333333333
N3502,12157017,12,2016-05-24 18:45:29,#132#132,2016-05-24 19:00:38,#17#17,15.15
N3502,12157017,12,2016-05-25 12:47:53,#132#132#132#132,2016-05-25 12:49:04,有更多的时间准备战术啦#149,1.1833333333333333
N3502,12157017,12,2016-05-25 12:49:41,那也打不过辣么多土豪,2016-05-25 12:50:15,机会是留给有准备的人滴#149,0.5666666666666667
N3502,12157017,12,2016-05-25 12:49:45,#132#132,2016-05-25 12:50:15,机会是留给有准备的人滴#149,0.5
N3502,12157017,12,2016-05-25 12:51:33,我们队男魔三介项链三介鞋都出不了手#128#128,2016-05-25 13:09:00,多少敏出不了手啊#149,17.45
N3502,12157017,12,2016-05-25 12:51:48,还怎么准备啊#128#128,2016-05-25 13:09:00,多少敏出不了手啊#149,17.2
N3502,12157017,12,2016-05-25 12:52:00,这游戏有不靠技术#128,2016-05-25 13:09:00,多少敏出不了手啊#149,17.0
N3502,12157017,12,2016-05-25 13:09:21,1850啊#166#166,2016-05-25 13:10:33,是不是装备木有炼化好啊～怎么会出不了手啊,1.2
N3502,12157017,12,2016-05-25 13:10:42,#166#166,2016-05-25 13:11:16,#128原来是这样,0.5666666666666667
N3502,12157017,12,2016-05-25 13:10:56,对面颜如玉一下就秒了啊#132#132,2016-05-25 13:11:16,#128原来是这样,0.3333333333333333
N3502,12157017,12,2016-05-25 13:11:17,范式一下又把我打死了,2016-05-25 13:11:42,木有点抗物理么你～,0.4166666666666667
N3502,12157017,12,2016-05-25 13:11:21,#122#122#122,2016-05-25 13:11:42,木有点抗物理么你～,0.35
N3502,12157017,12,2016-05-25 13:11:58,隔山隔死了,2016-05-25 13:12:29,真是个悲伤的故事#128让我静静,0.5166666666666667
N3502,12157017,12,2016-05-25 13:12:05,#127#127#127,2016-05-25 13:12:29,真是个悲伤的故事#128让我静静,0.4
N3502,12157017,12,2016-05-25 13:12:30,怎么玩啊#166#166,未回复,未回复,未回复
N3502,4235740,13,2016-05-24 18:45:51,服务器出问题还会给补偿的#17,2016-05-24 19:02:15,#149#149好机智,16.4
N3502,4235740,13,2016-05-25 12:41:33,被我言中了#128,2016-05-25 12:47:21,#128#128#128,5.8
N2662,655479,10,2016-05-25 19:46:19,200得神,2016-05-25 19:50:23,木有哟～,4.066666666666666
N2662,655479,10,2016-05-25 19:46:28,兵,2016-05-25 19:50:23,木有哟～,3.9166666666666665
N2662,655479,10,2016-05-25 19:46:53,与歌唱鬼有关吗,2016-05-25 19:50:23,木有哟～,3.5
N2662,655479,10,2016-05-25 19:53:41,跑了好多次一直都是盘古,2016-05-25 19:59:12,小倩也是#157,5.516666666666667
N2662,655479,10,2016-05-25 19:53:47,#15#15#15,2016-05-25 19:59:12,小倩也是#157,5.416666666666667
N2662,655479,10,2016-05-25 19:59:50,你也跑200吗,未回复,未回复,未回复
N3701,17498235,11,2016-05-25 19:22:45,#1,2016-05-25 19:28:28,3转炼狱难度八卦降魔迭代更新咯#18大话西游手游网页版亲爱哒这几天感觉如何#157,5.716666666666667
G6963,10242442,12,2016-05-24 11:34:39,什么情况,2016-05-24 12:21:38,我在啊～你说～,46.983333333333334
G6963,10242442,12,2016-05-24 11:35:57,在不在,2016-05-24 12:21:38,我在啊～你说～,45.68333333333333
G6963,10242442,12,2016-05-24 12:17:26,在不在,2016-05-24 12:21:38,我在啊～你说～,4.2
G6963,10242442,12,2016-05-24 14:45:19,我的号，能找回嘛,2016-05-24 14:58:02,你的帐号出现什么问题了吗,12.716666666666667
G6963,10242442,12,2016-05-24 14:48:50,说话,2016-05-24 14:58:02,你的帐号出现什么问题了吗,9.2
G6963,10242442,12,2016-05-24 14:58:21,没事，发错了,2016-05-24 15:00:40,你的帐号出现什么问题了吗?有什么是瑶瑶可以帮忙的吗,2.316666666666667
G6963,10242442,12,2016-05-24 15:11:15,#29,2016-05-25 18:36:17,#R更新消息邀请你～更新以后会放出新的地图——蟠桃园哦～3转炼狱难度八卦降魔战斗迭代啦～快来体验吧～,1645.0333333333333
G3681,9423004,10,2016-05-25 12:00:23,想要礼包,2016-05-25 12:35:17,咱们游戏现在推出了一个网页版，是跟手游互通的哟，您如果有时候手机不方便上线，也可以在电脑上登录游戏哦#18,34.9
N3701,2457749,10,2016-05-24 18:46:12,妹妹#15,2016-05-24 18:47:50,肿么啦#39,1.6333333333333333
N3701,2457749,10,2016-05-24 18:48:31,微信也不理哥哥了#15,2016-05-24 18:50:50,#40没有呀，纱纱一直都在呀,2.316666666666667
N3701,2457749,10,2016-05-24 18:48:48,以前杂俩聊到多嗨啊,2016-05-24 18:50:50,#40没有呀，纱纱一直都在呀,2.033333333333333
N3701,2457749,10,2016-05-24 18:51:58,这个星期有什么好的爆料啊,2016-05-24 18:54:31,大话手游网页版，哥哥有试吗#48,2.55
N3701,2457749,10,2016-05-24 18:54:51,试了，相当不错，一点不卡,2016-05-24 18:55:42,#39自从有了网页版，手机都不充电啦,0.85
N3701,2457749,10,2016-05-24 18:58:58,在家可以，但出去了还是手机方便,2016-05-24 18:59:54,是啊，而且感觉电脑屏幕比较大，看起来更舒服,0.9333333333333333
N3701,2457749,10,2016-05-24 19:00:23,嗯，感觉又回到了端游时代,2016-05-24 19:03:52,仪宝是工作调动去其他岗位了哦,3.4833333333333334
N3701,2457749,10,2016-05-24 19:00:51,哎妹妹，那个赵仪怎么走了？,2016-05-24 19:03:52,仪宝是工作调动去其他岗位了哦,3.0166666666666666
N3701,2457749,10,2016-05-24 19:05:05,是啊！过一阵子你也不会调动吧,2016-05-24 19:06:53,我不会哒#48,1.8
N3701,2457749,10,2016-05-24 19:15:33,嗯，很高兴认识你，希望我们以后多聊天,2016-05-24 19:16:20,#44纱纱一直都在哦，随时欢迎哥哥,0.7833333333333333
N3701,2457749,10,2016-05-24 19:17:01,好的！以后咱们也跟怡宝一样聊的愉快#1,2016-05-24 19:17:37,#58,0.6
N3701,2457749,10,2016-05-24 19:19:40,还有15分钟就下班了#14,2016-05-24 19:21:06,纱纱也是哦，7点半下班呢,1.4333333333333333
N3701,2457749,10,2016-05-25 18:36:20,111222,2016-05-25 18:40:20,3转炼狱难度八卦降魔迭代更新咯#18大话西游手游网页版亲爱哒这几天感觉如何#157,4.0
N3701,2457749,10,2016-05-25 18:46:42,不错,2016-05-25 18:54:05,#48独步天下玩法和端午节活动玩法已将登场哦#47不过先在测试服测试哦,7.383333333333334
N3701,2457749,10,2016-05-25 18:47:11,妹妹，什么时候能出新的任务,2016-05-25 18:54:05,#48独步天下玩法和端午节活动玩法已将登场哦#47不过先在测试服测试哦,6.9
N3701,2457749,10,2016-05-25 18:57:15,能介绍内容吗？,2016-05-25 18:59:19,#40详细的目前还不清楚哦，先在测试服测试哦,2.066666666666667
N3701,2457749,10,2016-05-25 19:02:21,好吧，,2016-05-25 19:03:41,#58吃啦,1.3333333333333333
N3701,2457749,10,2016-05-25 19:02:27,妹妹吃饭了吗？,2016-05-25 19:03:41,#58吃啦,1.2333333333333334
G6790,393368,10,2016-05-25 19:44:01,#127#127#127,2016-05-25 19:56:55,#93,12.9
G6790,393368,10,2016-05-25 19:44:07,根本打不过好不啦,2016-05-25 19:56:55,#93,12.8
G6790,393368,10,2016-05-25 19:57:33,你要忙就不用挂了,未回复,未回复,未回复
N2662,917661,10,2016-05-25 19:33:33,111111111,2016-05-25 19:46:50,#49,13.283333333333333
N2631,10518696,10,2016-05-25 19:00:21,#132,2016-05-25 19:12:26,哪有，曼曼昨天还被带了5环呢#132,12.083333333333334
N2631,10518696,10,2016-05-25 19:01:17,哥们，没记错你两百级吧，这点小事你自己就搞定了,2016-05-25 19:12:26,哪有，曼曼昨天还被带了5环呢#132,11.15
N2631,10518696,10,2016-05-25 19:13:47,#175,2016-05-25 19:31:04,#165,17.283333333333335
N1852,14713020,10,2016-05-24 16:51:12,在吗！#163,2016-05-24 16:51:55,在的哦#163,0.7166666666666667
N1852,14713020,10,2016-05-24 16:52:38,我想问下，黑店老板都卖些啥东西？,2016-05-24 16:53:20,据说每次都不同哦～不过有人见过有个性装扮特效、七色花、终极残卷、高级金柳露等物品出售哦～,0.7
N1852,14713020,10,2016-05-24 16:53:56,比市场价低吗？,2016-05-24 16:54:43,这个也不一定呢～据说有的高有的低～,0.7833333333333333
N3746,6324416,10,2016-05-24 12:02:08,什么时候出修罗任务,2016-05-24 12:04:15,目前暂时是还没有消息的呢，有消息会跟你说的呢,2.1166666666666667
N2662,11827556,10,2016-05-25 16:10:20,在不在,2016-05-25 16:23:58,在的哟,13.633333333333333
N2685,178952,10,2016-05-25 19:08:00,1,2016-05-25 19:14:04,#171#171,6.066666666666666
N2655,32979,17,2016-05-25 11:47:42,处理没有？,2016-05-25 12:02:28,在哒,14.766666666666667
N2655,32979,17,2016-05-25 11:49:41,在不在,2016-05-25 12:02:28,在哒,12.783333333333333
N2655,32979,17,2016-05-25 12:01:12,？？？？,2016-05-25 12:02:28,在哒,1.2666666666666666
N2655,32979,17,2016-05-25 12:10:53,好的,2016-05-25 12:12:17,小静刚刚已经去申诉啦，也让同事加急啦，有结果的话马上告诉你哦#104,1.4
N2655,32979,17,2016-05-25 13:28:51,#015,2016-05-25 13:29:25,#17小静这边看不到图片,0.5666666666666667
N2655,32979,17,2016-05-25 13:29:47,我打的表情,2016-05-25 13:31:40,这个因为价格比高，小静这边暂时没有固定的价格，小静去问问同事哦,1.8833333333333333
N2655,32979,17,2016-05-25 13:30:26,我要卖一个化无 绝境子虚的  符咒 谈好的价钱 240亿？,2016-05-25 13:31:40,这个因为价格比高，小静这边暂时没有固定的价格，小静去问问同事哦,1.2333333333333334
N2655,32979,17,2016-05-25 13:30:32,这个是不是也不行,2016-05-25 13:31:40,这个因为价格比高，小静这边暂时没有固定的价格，小静去问问同事哦,1.1333333333333333
N2655,32979,17,2016-05-25 13:30:50,绝境人家一直80  85 我卖70直接给我非法,2016-05-25 13:31:40,这个因为价格比高，小静这边暂时没有固定的价格，小静去问问同事哦,0.8333333333333334
N2655,32979,17,2016-05-25 13:31:12,然后给我了13亿  现在合一本都是18亿好吗,2016-05-25 13:31:40,这个因为价格比高，小静这边暂时没有固定的价格，小静去问问同事哦,0.4666666666666667
N2655,32979,17,2016-05-25 13:31:50,如果说你们官方认为 绝境就是13亿 那有多少给我多少 我都要了,2016-05-25 13:35:30,每个服务器的价格不一样，我们也会根据当前服务器的需求情况来判断，那个绝境的话小静让同事去查看了，暂时还没有消息#17,3.6666666666666665
N2655,32979,17,2016-05-25 13:36:06,你可以看我们区绝境这段时间的价格啊,2016-05-25 13:36:57,嗯嗯～小静让同事去查看哦,0.85
N2655,32979,17,2016-05-25 13:36:13,化无都是90亿以上,2016-05-25 13:36:57,嗯嗯～小静让同事去查看哦,0.7333333333333333
N1415,1993422,10,2016-05-24 18:58:55,在么,2016-05-24 18:59:23,在哒#157,0.4666666666666667
N1415,1993422,10,2016-05-24 19:00:18,不开森  神兵砸不上去,2016-05-24 19:01:01,#151升哪一件呀？,0.7166666666666667
